season,team1_id,team1_score,team2_id,team2_score,team1_seed,team1_teamname,team1_fg2pct,team1_fg3pct,team1_ftpct,team1_blockpct,team1_oppfg2pct,team1_oppfg3pct,team1_oppftpct,team1_oppblockpct,team1_f3grate,team1_oppf3grate,team1_arate,team1_opparate,team1_stlrate,team1_oppstlrate,team1_oe,team1_de,team1_pt_school_s16,team1_pt_school_ff,team2_seed,team2_teamname,team2_fg2pct,team2_fg3pct,team2_ftpct,team2_blockpct,team2_oppfg2pct,team2_oppfg3pct,team2_oppftpct,team2_oppblockpct,team2_f3grate,team2_oppf3grate,team2_arate,team2_opparate,team2_stlrate,team2_oppstlrate,team2_oe,team2_de,team2_pt_school_s16,team2_pt_school_ff,result
2002,1104,86,1194,78,2,Alabama,50.6579,30.8677,73.5782,8.0468,45.2085,31.7841,68.2422,7.1637,33.945,32.7925,50.5495,46.988,0.1053,0.0881,108.4361,95.2313,0,0,15,Florida Atlantic,45.0355,33.9114,66.7785,8.1871,48.538,34.3925,68.8172,9.9291,26.9051,30.8891,56.5968,56.3399,0.1282,0.1076,100.2897,98.4183,0,0,1
2002,1112,86,1364,81,3,Arizona,50,37.6093,73.0769,7.2512,47.8576,34.7826,70.1258,8.4934,33.6275,31.9731,56.4706,54.8255,0.0835,0.0839,111.0077,104.0411,8,4,14,UC Santa Barbara,47.0414,40.8247,75.8117,8.7185,43.1723,32.0968,69.3679,6.7061,32.3549,39.4402,65.7778,58.5246,0.0868,0.0778,105.2163,96.0965,0,0,1
2002,1231,75,1428,56,5,Indiana,48.3696,40,69.4561,12.5086,42.8866,35.5839,66.4013,10.0155,33.0213,27.359,58.4949,48.2295,0.1045,0.1075,105.3974,94.4987,0,0,12,Utah,50.306,40.4719,67.9443,7.3961,49.1388,31.8302,70.6406,7.3439,40.2778,27.6393,63.7224,51.5702,0.0922,0.0927,107.7123,97.4318,4,1,1
2002,1242,70,1221,59,1,Kansas,52.5627,41.0959,71.9128,12.2449,41.8677,36.4754,68.1621,9.1058,21.791,31.1622,61.3288,52.5424,0.1159,0.1094,114.5438,94.4261,7,2,16,Holy Cross,42.9583,33.79,69.153,9.3551,43.6876,38.3895,65.604,9.6774,25.629,32.6606,63.1124,64.4315,0.1217,0.1047,98.0754,92.2897,0,0,1
2002,1245,69,1329,61,10,Kent St.,50.7947,36.5812,73.1034,5.4849,46.1844,32.4717,68.9051,5.5978,28.7894,32.9782,48.4721,50.6394,0.0974,0.0717,115.7547,96.7084,0,0,7,Oklahoma St.,49.3718,32.7451,64.4068,8.641,45.1689,30.742,68.231,8.8692,27.3752,30.7776,55.0898,51.0013,0.1124,0.0997,103.9347,92.8097,4,1,1
2002,1246,83,1434,68,4,Kentucky,50.9105,31.5089,67.6948,12.3344,45.1159,33.6538,67.9117,7.8385,34.8633,34.0611,51.1682,52.8477,0.1055,0.0987,105.2773,94.9881,3,1,13,Valparaiso,51.0804,35.0133,67.3973,10.741,45.2956,35.5155,65.8163,6.3094,39.4558,33.7196,63.9766,66.8857,0.1415,0.0957,110.5689,94.0668,1,0,1
2002,1281,93,1274,80,12,Missouri,49.6829,39.0887,68.9704,9.7222,47.4747,36.414,66.8831,7.8224,37.0173,25.4588,52.2793,54.8999,0.1029,0.101,112.716,101.992,0,0,5,Miami FL,47.7441,34.5029,77.1386,15.6766,45.0495,30.9064,67.4847,9.9262,35.9432,35.7029,64.1809,53.183,0.1241,0.1028,104.5566,93.077,0,0,1
2002,1326,69,1172,64,4,Ohio St.,52.589,37.5536,67.5472,6.8306,49.9089,32.0624,70.1149,8.8997,27.3796,34.4478,58.5455,54.8431,0.0904,0.0744,111.3386,96.5748,1,1,13,Davidson,46.7928,34.6278,69.0299,9.1155,41.2455,33.7736,74.6711,8.0967,39.3881,32.3565,61.6085,48.1132,0.0898,0.1109,98.0026,97.679,0,0,1
2002,1332,81,1285,62,2,Oregon,52.352,42.2096,77.0784,7.0243,46.4879,34.3013,67.9767,6.6009,34.8814,26.0274,57.085,45.2563,0.099,0.0927,116.3415,96.8665,0,0,15,Montana,50.9,34.8754,67.6471,9.935,47.0752,38.087,68.0758,8.9,35.9795,34.8063,59.4326,60.4683,0.0755,0.0923,101.9545,105.0276,0,0,1
2002,1409,71,1266,69,12,Tulsa,51.0526,40.2262,75.389,11.2177,46.3469,34.8276,68.0251,9.0226,31.7599,29.9742,60.5603,51.9277,0.1094,0.0945,112.0819,96.5354,0,0,5,Marquette,50.3971,37.9386,69.1667,10.0983,44.7721,32.0814,65.3716,7.4368,24.7691,36.3481,52.8129,59.4901,0.1259,0.0925,108.5643,90.0151,0,0,1
2002,1448,83,1337,74,7,Wake Forest,52.8839,36.6412,73.8192,9.9499,49.32,34.4307,68.7764,6.5323,31.2798,34.2897,55.2448,53.2979,0.0879,0.1039,110.6312,103.9414,0,0,10,Pepperdine,49.5746,36.4516,71.4729,12.603,43.7397,36.7893,72.1704,5.7231,32.4098,33.0022,48.4429,57.3901,0.0933,0.0752,107.0549,99.0433,0,0,1
2002,1461,73,1211,66,11,Wyoming,50.6349,30.8962,69.6822,10.4355,43.1389,36.2205,70.8783,8.8095,25.1781,29.4493,51.8856,53.8787,0.096,0.1068,105.3654,97.0568,0,0,6,Gonzaga,50.1169,39.0706,73.2446,8.7981,41.791,33.2335,68.5668,7.7163,31.1695,34.4152,57.8161,50,0.0804,0.0813,112.7484,93.6616,2,0,1
2002,1153,90,1131,52,1,Cincinnati,50.7363,36.2218,70.9178,10.2265,40.4942,29.5848,68.2848,6.2249,27.8609,28.4029,48.7073,44.8095,0.069,0.0657,112.2741,86.3924,4,1,16,Boston University,45.4167,35.8025,68.8172,7.7994,42.8041,33.0893,68.2443,10.3333,32.0883,38.8068,53.3422,55.0218,0.0913,0.1041,102.6611,95.6198,0,0,1
2002,1208,85,1293,68,3,Georgia,50.7961,32.2807,74.3066,9.4293,50.0414,31.0145,66.6058,9.022,30.1747,36.3349,56.9087,56.2882,0.1259,0.1055,108.4477,100.5115,0,0,14,Murray St.,49.476,32.0066,71.8861,12.5,50.085,34.1818,70.5056,7.0359,31.0985,31.8656,49.2974,57.6577,0.1051,0.1074,106.5064,103.1195,0,0,1
2002,1268,85,1373,70,1,Maryland,51.9185,37.4138,72.5616,13.6106,43.6673,31.6597,68.118,7.6739,25.8007,31.1198,65.928,53.1522,0.1118,0.0941,113.1674,94.3706,5,1,16,Siena,45.6127,34.626,74.4032,11.3308,42.6616,33.6399,69.6471,10.5144,35.3229,36.657,54.5135,57.8947,0.0778,0.102,98.693,96.3688,0,0,1
2002,1338,71,1148,54,3,Pittsburgh,54.7988,32.2581,60.4527,11.9175,44.6142,28.8217,69.5222,9.4427,34.5491,32.4213,63.5776,54.902,0.0991,0.0792,107.3403,90.1442,0,0,14,Central Connecticut,48.8776,35.0126,73.6011,8.2665,46.6292,30.832,62.1505,7.3135,22.3285,32.9747,51.5971,52.4675,0.0989,0.1063,105.115,92.1765,0,0,1
2002,1400,70,1130,57,6,Texas,48.2603,36.7647,68.6732,9.5342,47.3071,36.5559,65.3955,8.3119,25.9542,32.5147,54.373,52.13,0.0869,0.091,109.8999,102.7344,0,0,11,Boston College,45.8723,33.7043,69.5876,8.1839,46.6095,32.973,65.8098,9.3458,32.8803,30.1959,53.5581,52.4968,0.1139,0.1047,103.7066,99.2527,0,0,1
2002,1417,80,1279,58,8,UCLA,50.6716,38.986,69.1834,8.1152,49.3892,33.2947,71.5548,6.1194,29.9163,42.9283,52.9933,55.6858,0.0784,0.0805,106.244,102.9371,4,0,9,Mississippi,50.6764,37.8689,73.5736,5.1818,48.3636,31.6129,67.8233,11.5505,38.8288,29.7125,57.6602,51.8409,0.1075,0.1085,107.7291,95.6265,1,0,1
2002,1458,80,1385,70,8,Wisconsin,47.6054,35.7639,71.8354,5.1925,51.1191,34.7826,68.7251,9.1954,35.5556,32.1385,55.6188,51.1258,0.0912,0.1002,103.0291,100.3758,0,0,9,St. John's,43.9074,28.719,66.9544,9.7403,46.1039,33.1461,72.1024,9.1899,24.7824,30.2378,46.9388,57.3154,0.1393,0.0992,97.0139,94.3765,1,0,1
2002,1245,71,1104,58,10,Kent St.,50.7947,36.5812,73.1034,5.4849,46.1844,32.4717,68.9051,5.5978,28.7894,32.9782,48.4721,50.6394,0.0974,0.0717,115.7547,96.7084,0,0,2,Alabama,50.6579,30.8677,73.5782,8.0468,45.2085,31.7841,68.2422,7.1637,33.945,32.7925,50.5495,46.988,0.1053,0.0881,108.4361,95.2313,0,0,1
2002,1332,92,1448,87,2,Oregon,52.352,42.2096,77.0784,7.0243,46.4879,34.3013,67.9767,6.6009,34.8814,26.0274,57.085,45.2563,0.099,0.0927,116.3415,96.8665,0,0,7,Wake Forest,52.8839,36.6412,73.8192,9.9499,49.32,34.4307,68.7764,6.5323,31.2798,34.2897,55.2448,53.2979,0.0879,0.1039,110.6312,103.9414,0,0,1
2002,1163,77,1301,74,2,Connecticut,50.4627,39.3862,69.6315,15.6499,40.5836,32.3442,71.151,8.575,19.4334,30.8891,50.823,55.7831,0.1035,0.091,106.1949,93.6429,7,1,7,North Carolina St.,51.4512,35.9638,75.5047,5.6648,49.5673,31.4126,73.6626,9.7625,40.4712,29.7402,63.2677,54.8185,0.1136,0.0984,108.3939,96.7003,0,0,1
2002,1328,78,1462,65,2,Oklahoma,48.2265,35.0148,76.676,9.6264,44.8994,29.9296,68.5611,8.1518,29.5484,28.9796,51.1375,55.4717,0.1293,0.0824,111.0435,91.4413,1,0,7,Xavier,49.1942,35.6239,72.1019,10.6557,43.7407,30.6839,66.8687,8.7362,31.9284,28.7307,51.4801,51.9256,0.0986,0.0898,108.3514,93.2482,0,0,1
2002,1338,63,1143,50,3,Pittsburgh,54.7988,32.2581,60.4527,11.9175,44.6142,28.8217,69.5222,9.4427,34.5491,32.4213,63.5776,54.902,0.0991,0.0792,107.3403,90.1442,0,0,6,California,51.6746,31.4286,67.713,11.9891,46.1399,34.3701,66.6174,7.0973,32.1796,36.8693,58.3234,59.6708,0.1143,0.0729,104.0471,94.9897,1,0,1
2002,1356,77,1208,75,11,Southern Illinois,49.9339,36.6057,61.9318,11.8257,42.047,35.9019,69.8824,6.7371,28.4161,28.3094,56.0451,47.7245,0.1036,0.0938,107.0924,94.3099,0,0,3,Georgia,50.7961,32.2807,74.3066,9.4293,50.0414,31.0145,66.6058,9.022,30.1747,36.3349,56.9087,56.2882,0.1259,0.1055,108.4477,100.5115,0,0,1
2002,1231,74,1181,73,5,Indiana,48.3696,40,69.4561,12.5086,42.8866,35.5839,66.4013,10.0155,33.0213,27.359,58.4949,48.2295,0.1045,0.1075,105.3974,94.4987,0,0,1,Duke,57.4329,36.2651,68.9845,7.2251,46.2916,30.2703,68.8693,7.4692,37.5736,26.1916,57.1821,49.5516,0.1297,0.0919,116.3726,90.2544,12,9,1
2002,1245,78,1338,73,10,Kent St.,50.7947,36.5812,73.1034,5.4849,46.1844,32.4717,68.9051,5.5978,28.7894,32.9782,48.4721,50.6394,0.0974,0.0717,115.7547,96.7084,0,0,3,Pittsburgh,54.7988,32.2581,60.4527,11.9175,44.6142,28.8217,69.5222,9.4427,34.5491,32.4213,63.5776,54.902,0.0991,0.0792,107.3403,90.1442,0,0,1
